dia,poblacion_sana,poblacion_infectada
278,263758.1339,91008.9639
279,256836.4108,94355.1853
280,249789.3153,97585.4952
281,242652.7581,100676.0882
282,235462.7965,103604.3767
283,228255.0301,106349.4325
284,221064.0255,108892.3808
285,213922.7892,111216.7324
286,206862.3056,113308.6431
287,199911.1533,115157.0934
288,193095.2075,116753.9871
289,186437.4308,118094.1679
290,179957.7530,119175.3623
291,173673.0339,119998.0540
292,167597.1004,120565.3026
293,161740.8490,120882.5168
294,156112.4009,120957.1946
295,150717.2984,120798.6431
296,145558.7301,120417.6881
297,140637.7740,119826.3837
298,135953.6494,119037.7311
299,131503.9683,118065.4113
300,127284.9797,116923.5389
301,123291.8020,115626.4386
302,119518.6392,114188.4483
303,115958.9785,112623.7475
304,112605.7678,110946.2123
305,109451.5732,109169.2959
306,106488.7161,107305.9321
307,103709.3909,105368.4614
308,101105.7644,103368.5755
309,98670.0590,101317.2809
310,96394.6203,99224.8753
311,94271.9713,97100.9390
312,92294.8552,94954.3356
313,90456.2671,92793.2225
314,88749.4776,90625.0677
315,87168.0488,88456.6730
316,85705.8435,86294.2011
317,84357.0299,84143.2059
318,83116.0817,82008.6644
319,81977.7751,79895.0109
320,80937.1825,77806.1709
321,79989.6652,75745.5953
322,79130.8633,73716.2940
323,78356.6856,71720.8694
324,77663.2981,69761.5476
325,77047.1119,67840.2098
326,76504.7716,65958.4209
327,76033.1430,64117.4574
328,75629.3012,62318.3338
329,75290.5187,60561.8268
330,75014.2541,58848.4986
331,74798.1411,57178.7181
332,74639.9780,55552.6811
333,74537.7169,53970.4284
334,74489.4549,52431.8631
335,74493.4241,50936.7663
336,74547.9836,49484.8113
337,74651.6105,48075.5773
338,74802.8926,46708.5610
339,75000.5209,45383.1881
340,75243.2828,44098.8232
341,75530.0552,42854.7788
342,75859.7989,41650.3241
343,76231.5525,40484.6919
344,76644.4272,39357.0859
345,77097.6013,38266.6869
346,77590.3161,37212.6578
347,78121.8710,36194.1490
348,78691.6190,35210.3028
349,79298.9636,34260.2571
350,79943.3541,33343.1492
351,80624.2827,32458.1189
352,81341.2810,31604.3110
353,82093.9167,30780.8783
354,82881.7910,29986.9830
355,83704.5353,29221.7994
356,84561.8090,28484.5146
357,85453.2964,27774.3308
358,86378.7049,27090.4660
359,87337.7623,26432.1550
360,88330.2146,25798.6506
361,89355.8241,25189.2239
362,90414.3670,24603.1653
363,91505.6317,24039.7847
364,92629.4169,23498.4120
365,93785.5297,22978.3971
