dia,poblacion_sana,poblacion_infectada
321,65655.0292,12427.8976
322,65771.3587,12502.6846
323,65880.8651,12578.9158
324,65983.5145,12656.5517
325,66079.2782,12735.5511
326,66168.1333,12815.8717
327,66250.0623,12897.4698
328,66325.0534,12980.3003
329,66393.1003,13064.3168
330,66454.2027,13149.4715
331,66508.3656,13235.7151
332,66555.6000,13322.9973
333,66595.9225,13411.2659
334,66629.3553,13500.4679
335,66655.9266,13590.5485
336,66675.6701,13681.4520
337,66688.6250,13773.1211
338,66694.8365,13865.4973
339,66694.3550,13958.5211
340,66687.2368,14052.1316
341,66673.5434,14146.2667
342,66653.3420,14240.8634
343,66626.7049,14335.8577
344,66593.7097,14431.1843
345,66554.4394,14526.7773
346,66508.9819,14622.5698
347,66457.4300,14718.4942
348,66399.8817,14814.4820
349,66336.4394,14910.4643
350,66267.2103,15006.3716
351,66192.3060,15102.1337
352,66111.8426,15197.6804
353,66025.9403,15292.9410
354,65934.7233,15387.8446
355,65838.3197,15482.3204
356,65736.8613,15576.2973
357,65630.4835,15669.7047
358,65519.3250,15762.4719
359,65403.5277,15854.5287
360,65283.2364,15945.8054
361,65158.5987,16036.2326
362,65029.7650,16125.7418
363,64896.8878,16214.2653
364,64760.1218,16301.7360
365,64619.6239,16388.0880
